用例编号,所属项目,所属模块,相关需求,用例标题,前置条件,步骤,预期,实际情况,关键词,优先级,用例类型,适用阶段,用例状态,B,R,S,结果,由谁创建,创建日期,最后修改者,修改日期,用例版本,相关用例
1,woniuboss2.5_yang(#4),/登录(#53),,WB2.5_登录_可以进入蜗牛boss系统的登录界面,系统在Linux上部署成功,1. 输入系统的网址http://192.172.3.111/WoniuBoss2.5/,1.可以进入蜗牛boss系统的登录界面,,,3,功能测试,,正常,0,0,3,,杨光亮,2020/5/11,,0000-00-00,1,
2,woniuboss2.5_yang(#4),/登录(#53),,"WB2.5_登录_登录界面UI检查,检查输入框是否可以输入
",已进入登录界面,1. 检查登录界面的UI与原型图对比,1.与原型图保持一致,,,3,功能测试,,,0,0,3,,杨光亮,2020/5/11,,,1,
3,woniuboss2.5_yang(#4),/登录(#53),,WB2.5_登录_用户名4位数字,"1.进入登录界面
2.存在用户1234/123456","1.输入用户名1234
2.输入密码123456
3.点击登录","1.可以输入用户名1234
2.可以输入密码123456
3.登录成功",,,3,功能测试,,,0,0,3,,杨光亮,2020/5/11,,,1,
4,woniuboss2.5_yang(#4),/登录(#53),,WB2.5_登录_用户名20位字母,"1.进入登录界面
2.存在用户qwertyuiopasdfghjklo/123456","1.输入用户名qwertyuiopasdfghjklo
2.输入密码123456
3.点击登录","1.可以输入用户名qwertyuiopasdfghjklo
2.可以输入密码123456
3.登录成功",,,3,功能测试,,,0,0,3,,杨光亮,2020/5/11,,,1,
5,woniuboss2.5_yang(#4),/登录(#53),,WB2.5_登录_用户名名10位数字字母组合,"1.进入登录界面
2.存在用户tyuiy54345/123456","1.输入用户名tyuiy54345
2.输入密码123456
3.点击登录","1.可以输入用户名tyuiy54345
2.可以输入密码123456
3.登录成功",,,3,功能测试,,,0,0,3,,杨光亮,2020/5/11,,,1,
6,woniuboss2.5_yang(#4),/登录(#53),,WB2.5_登录_用户名为15位字符,"1.进入登录界面
2.存在用户YUIuiyutyu^&*^%98789/123456","1.输入用户名YUIuiyutyu^&*^%98789
2.输入密码123456
3.点击登录","1.可以输入用户名YUIuiyutyu^&*^%98789
2.可以输入密码123456
3.登录成功",,,3,功能测试,,,0,0,3,,杨光亮,2020/5/11,,,1,
7,woniuboss2.5_yang(#4),/登录(#53),,WB2.5_登录_将存在的用户名大小写字母转换,1.进入登录界面,"1.输入用户名tyuiy54345
2.输入密码123456
3.点击登录","1.可以输入用户名TYUIY54345
2.可以输入密码123456
3.登录失败",,,3,功能测试,,,0,0,3,,杨光亮,2020/5/11,,,1,
8,woniuboss2.5_yang(#4),/登录(#53),,WB2.5_登录_用户名为3位字符,1.进入登录界面,"1.输入用户名tyu
2.输入密码123456
3.点击登录","1.可以输入用户名tyu
2.可以输入密码123456
3.登录失败",,,3,功能测试,,,0,0,3,,杨光亮,2020/5/11,,,1,
9,woniuboss2.5_yang(#4),/登录(#53),,WB2.5_登录_用户名为空,1.进入登录界面,"1.输入空用户名
2.输入密码123456
3.点击登录","1.可以输入用户名为空
2.可以输入密码123456
3.登录失败",,,3,功能测试,,,0,0,3,,杨光亮,2020/5/11,,,1,
10,woniuboss2.5_yang(#4),/登录(#53),,WB2.5_登录_用户名为21位字符,1.进入登录界面,"1.输入用户名为*&)(*&%^&*(87657uiutui
2.输入密码123456
3.点击登录","1.可以输入用户名为*&)(*&%^&*(87657uiutui
2.可以输入密码123456
3.登录失败",,,3,功能测试,,,0,0,3,,杨光亮,2020/5/11,,,1,
11,woniuboss2.5_yang(#4),/登录(#53),,WB2.5_登录_密码为空,"1.进入登录界面
2.存在用户为1234/123456","1.输入用户名为1234
2.输入密码为空
3.点击登录","1.可以输入用户名为1234
2.可以输入密码为空
3.登录失败",,,3,功能测试,,,0,0,3,,杨光亮,2020/5/11,,,1,
12,woniuboss2.5_yang(#4),/登录(#53),,WB2.5_登录_密码为5位字符,"1.进入登录界面
2.存在用户为1234/123456","1.输入用户名为1234
2.输入密码为12345
3.点击登录","1.可以输入用户名为1234
2.可以输入密码为12345
3.登录失败",,,3,功能测试,,,0,0,3,,杨光亮,2020/5/11,,,1,
13,woniuboss2.5_yang(#4),/登录(#53),,WB2.5_登录_密码为21位字符,1.进入登录界面,"1.输入用户名为1234
2.输入密码为(*&6787^&*(uyuioiuyty
3.点击登录","1.可以输入用户名为1234
2.可以输入密码为(*&6787^&*(uyuioiuyty
3.登录失败",,,3,功能测试,,,0,0,3,,杨光亮,2020/5/11,,,1,
14,woniuboss2.5_yang(#4),/登录(#53),,WB2.5_登录_密码为字母大小写转换,"1.进入登录界面
2.存在用户1234/abcdefg","1.输入用户名为1234
2.输入密码为ABCDEFG
3.点击登录","1.可以输入用户名为1234
2.可以输入密码为ABCDEFG
3.登录失败",,,3,功能测试,,,0,0,3,,杨光亮,2020/5/11,,,1,
15,woniuboss2.5_yang(#4),/登录(#53),,WB2.5_登录_验证码大小写转换,"1.进入登录界面
2.存在用户1234/123456","1.输入用户名为1234
2.输入密码为123456
3.输入当前页面正确的验证码大小写转换
4.点击登录","1.可以输入用户名为1234
2.可以输入密码为123456
3.可以输入大小写转换的验证码
4.登录失败",,,3,功能测试,,,0,0,3,,杨光亮,2020/5/11,,,1,
