用例编号,所属项目,所属模块,相关需求,用例标题,前置条件,步骤,预期,实际情况,关键词,优先级,用例类型,适用阶段,用例状态,B,R,S,结果,由谁创建,创建日期,最后修改者,修改日期,用例版本,相关用例
1,woniuboss2.5_yang(#4),/财务管理(#60),,WB2.5_财务管理_界面检查,"1.使用财务人员账号登录成功WNCD012/woniu123
2.进入财务管理—财务流水模块",1. 检查财务管理模块界面,1. 页面显示完整,1,,3,功能测试,系统测试阶段,正常,0,0,1,,李晓芸,2020/5/9,,0000-00-00,1,
2,woniuboss2.5_yang(#4),/财务管理(#61),,WB2.5_财务管理_检验使用开始时间，结束时间，一级科目，二级科目组合查询功能,"1.使用财务人员账号登录成功WNCD012/woniu123
2.进入财务管理—财务流水模块
3.存在流水记录A：开始时间=2020-05-02，结束时间=2020-05-09，一级科目=主营业务收入，二级科目=就业培训
4.存在流水记录B：开始时间=2020-04-10，结束时间=2020-05-02，一级科目=主营业务收入，二级科目=就业培训","1. 开始时间：2020-05-02
结束时间：2020-05-09
一级科目：主营业务收入
二级科目：就业培训
2. 点击查询按钮","1. 输入框跟下拉框中完整显示
开始时间：2020-05-02
结束时间：2020-05-09
一级科目：主营业务收入
二级科目：就业培训
2. 财务流水列表中完整显示财务流水记录A",,,2,功能测试,功能测试阶段,正常,0,0,0,,李鹏,2020/5/9,,0000-00-00,1,
3,woniuboss2.5_yang(#5),/财务管理(#62),,WB2.5_财务管理_检验输入开始时间等于结束时间的查询功能检查,"1.使用财务人员账号登录成功WNCD012/woniu123
2.进入财务管理—财务流水模块
3.存在流水记录A：开始时间=2020-05-02，结束时间=2020-05-02，一级科目=营业外收入，二级科目=教室租赁
4.存在流水记录B：开始时间=2020-04-10，结束时间=2020-05-02，一级科目=主营业务收入，二级科目=就业培训","1. 开始时间：2020-05-02
结束时间：2020-05-02
一级科目：营业外收入
二级科目：教室租赁
2. 点击查询按钮","1. 输入框跟下拉框中完整显示
开始时间：2020-05-02
结束时间：2020-05-02
一级科目：营业外收入
二级科目：教室租赁
2. 财务流水列表中完整显示财务流水记录A",,,3,功能测试,功能测试阶段,正常,,,,,,,,,,
4,woniuboss2.5_yang(#6),/财务管理(#63),,WB2.5_财务管理_检验输入开始时间大于结束时间的查询功能检查,"1.使用财务人员账号登录成功WNCD012/woniu123
2.进入财务管理—财务流水模块
3.财务流水记录中存在数据","1. 开始时间：2020-05-09
结束时间：2020-05-02
一级科目：营业外收入
二级科目：教室租赁
2. 点击查询按钮","1. 输入框跟下拉框中完整显示
开始时间：2020-05-09
结束时间：2020-05-02
一级科目：营业外收入
二级科目：教室租赁
2. 财务流水列表中无任何财务流水信息",,,3,功能测试,功能测试阶段,正常,,,,,,,,,,
5,woniuboss2.5_yang(#7),/财务管理(#64),,WB2.5_财务管理_检验开始时间为空时的查询功能,"1.使用财务人员账号登录成功WNCD012/woniu123
2.进入财务管理—财务流水模块
3.存在流水记录A：结束时间为2020-05-09，一级科目=来往款项，二级科目=过账费
4.存在流水记录B：结束时间为2020-05-11，一级科目=来往款项，二级科目=过账费","1. 开始时间：
结束时间：2020-05-09
一级科目：来往款项
二级科目：过账费
2. 点击查询按钮","1. 输入框跟下拉框中完整显示
开始时间：
结束时间：2020-05-09
一级科目：来往款项
二级科目：过账费
2. 财务流水列表中完整显示财务流水记录A",,,3,功能测试,功能测试阶段,正常,,,,,,,,,,
6,woniuboss2.5_yang(#8),/财务管理(#65),,WB2.5_财务管理_检验结束时间为空时的查询功能,"1.使用财务人员账号登录成功WNCD012/woniu123
2.进入财务管理—财务流水模块
3.存在流水记录A：开始时间=2020-05-02，结束时间=，一级科目=商务费用，二级科目=项目提成
4.存在流水记录B：开始时间=2020-05-11，结束时间=，一级科目=商务费用，二级科目=项目提成","1. 开始时间：2020-05-02
结束时间=
一级科目：商务费用
二级科目：项目提成
2. 点击查询按钮","1. 输入框跟下拉框中完整显示
开始时间：2020-05-02
结束时间=
一级科目：商务费用
二级科目：项目提成
2. 财务流水列表中完整显示财务流水记录A",,,3,功能测试,功能测试阶段,正常,,,,,,,,,,
7,woniuboss2.5_yang(#9),/财务管理(#66),,WB2.5_财务管理_检验开始时间和结束时间都为空时的查询功能,"1.使用财务人员账号登录成功WNCD012/woniu123
2.进入财务管理—财务流水模块
3.存在流水记录A：一级科目=商务费用，二级科目=项目提成
4.存在流水记录B：一级科目=来往款项，二级科目=过账费","1. 开始时间：
结束时间：
一级科目：商务费用
二级科目：项目提成
2. 点击查询按钮","1. 输入框跟下拉框中完整显示
开始时间：
结束时间：
一级科目：商务费用
二级科目：项目提成
2. 出现提示“请选择查询的时间段”的弹窗",,,3,功能测试,功能测试阶段,正常,,,,,,,,,,
8,woniuboss2.5_yang(#10),,,WB2.5_财务管理_检验每页条数记录功能,"1.使用财务人员账号登录成功WNCD012/woniu123
2.进入财务管理—财务流水模块
3.财务流水记录中存在50条数据","1. 点击每页条数的下拉框，选择10
2. 检查列表是否显示10条流水记录","1. 下拉框中完整显示选择的内容
2. 财务流水列表中完整显示10条流水记录",,,3,功能测试,功能测试阶段,正常,,,,,,,,,,
9,woniuboss2.5_yang(#11),,,WB2.5_财务管理_检验下一页功能,"1.使用财务人员账号登录成功WNCD012/woniu123
2.进入财务管理—财务流水模块
3.财务流水记录中存在50条数据
4.每页显示10条记录","1. 点击上一页按钮
2. 检查列表是否显示第11条到第20条流水记录","1. 下拉框中完整显示选择的内容
2. 财务流水列表中显示第11条到第20条流水记录",,,3,功能测试,功能测试阶段,正常,,,,,,,,,,
10,woniuboss2.5_yang(#12),,,WB2.5_财务管理_检验页数功能,"1.使用财务人员账号登录成功WNCD012/woniu123
2.进入财务管理—财务流水模块
3.财务流水记录中存在50条数据
4.每页显示10条记录","1. 点击第三页
2. 检查列表中是否显示第21条到第30条流水记录","1. 下拉框中完整显示选择的内容
2. 财务流水列表中显示第21条到第30条流水记录",,,3,功能测试,功能测试阶段,正常,,,,,,,,,,
11,woniuboss2.5_yang(#13),,,WB2.5_财务管理_检验上一页功能,"1.使用财务人员账号登录成功WNCD012/woniu123
2.进入财务管理—财务流水模块
3.财务流水记录中存在50条数据
4.每页显示10条记录","1. 点击上一页
2. 检查列表中是否显示第11条到第20条流水记录","1. 下拉框中完整显示选择的内容
2. 财务流水列表中显示第11条到第20条流水记录",,,3,功能测试,功能测试阶段,正常,,,,,,,,,,
