用例编号,所属项目,所属模块,相关需求,用例标题,前置条件,步骤,预期,实际情况,关键词,优先级,用例类型,适用阶段,用例状态,B,R,S,结果,由谁创建,创建日期,最后修改者,修改日期,用例版本,相关用例
1,woniuboss2.5_yang(#4),/行政综合(#62),,WB2.5_行政综合_检验行政综合界面,"1.使用管理员账号登录成功WNCD000/woniu123
2.进入行政综合界面",1. 检查行政综合界面,1. 界面显示完整,"1. 
2. 
3.",,4,功能测试,,正常,0,0,3,,李晓芸,2020/5/12,,0000-00-00,1,
,,,,WB2.5_行政综合_检验使用区域查询功能,"1.使用管理员账号登录成功WNCD000/woniu123
2.进入行政综合-固定资产管理模块，
3.存在固定资产A：区域为成都的资产信息
4.存在固定资产B：区域为重庆的资产信息","1. 区域:成都
2. 点击查询按钮","1. 下拉框中完整显示成都
2. 列表中完整显示固定资产信息A",,,4,功能测试,,正常,,,,,,,,,,
,,,,WB2.5_行政综合_检验使用部门查询功能,"1.使用管理员账号登录成功WNCD000/woniu123
2.进入行政综合-固定资产管理模块，
3.存在固定资产A：部门为市场部的资产信息
4.存在固定资产B：部门为教学部的资产信息","1. 部门:市场部
2. 点击查询按钮","1. 下拉框中完整显示市场部
2. 列表中完整显示固定资产信息A",,,4,功能测试,,正常,,,,,,,,,,
,,,,WB2.5_行政综合_检验使用状态查询功能,"1.使用管理员账号登录成功WNCD000/woniu123
2.进入行政综合-固定资产管理模块，
3.存在固定资产A：状态为已使用的资产信息
4.存在固定资产B：状态为已损坏的资产信息","1. 状态:已使用
2. 点击查询按钮","1. 下拉框中完整显示已使用
2. 列表中完整显示固定资产信息A",,,4,功能测试,,正常,,,,,,,,,,
,,,,WB2.5_行政综合_检验输入已存在的固定资产名称查询功能,"1.使用管理员账号登录成功WNCD000/woniu123
2.进入行政综合-固定资产管理模块，
3.存在固定资产A：资产名称为电脑
4.不存在固定资产B：资产名称为电视","1. 固定资产名称:电脑
2. 点击查询","1. 输入框中完整显示电脑
2. 列表中完整显示固定资产信息A",,,4,功能测试,,正常,,,,,,,,,,
,,,,WB2.5_行政综合_检验输入不存在的固定资产名称,"1.使用管理员账号登录成功WNCD000/woniu123
2.进入行政综合-固定资产管理模块，
3.存在固定资产A：资产名称为电脑
4.不存在固定资产B：资产名称为电视","1. 固定资产名称:电视
2. 点击查询","1. 输入框中完整显示电视
2. 列表中无任何显示",,,4,功能测试,,正常,,,,,,,,,,
,,,,WB2.5_行政综合_检验使用区域、部门、状态组合查询功能,"1.使用管理员账号登录成功WNCD000/woniu123
2.进入行政综合-固定资产管理模块，
3.存在固定资产A：区域为重庆，部门为教学部，状态为已使用
4.存在固定资产B：区域为西安，部门为教学部，状态为未使用","1. 区域:重庆
部门:教学部
状态:已使用
2. 点击查询","1. 下拉框中完整显示
区域:重庆
部门:教学部
状态:已使用
2. 列表中完整显示固定资产信息A",,,4,功能测试,,正常,,,,,,,,,,
,,,,WB2.5_行政综合_检验使用区域、部门、状态、资产名称组合查询功能,"1.使用管理员账号登录成功WNCD000/woniu123
2.进入行政综合-固定资产管理模块，
3.存在固定资产A：区域为重庆，部门为教学部，状态为已使用，资产名称为电脑
4.存在固定资产B：区域为西安，部门为教学部，状态为已领用资产名称为电脑","1. 区域:重庆
部门:教学部
状态:已使用
资产名称:电脑
2. 点击查询","1. 下拉框中完整显示
区域:重庆
部门:教学部
状态:已使用
资产名称:电脑
2. 列表中完整显示固定资产信息A",,,4,功能测试,,正常,,,,,,,,,,
,,,,WB2.5_行政综合_检验输入已存在的条形码查询,"1.使用管理员账号登录成功WNCD000/woniu123
2.进入行政综合-固定资产管理模块，
3.存在资产信息A：条形码为11111111
4.存在资产信息B：条形码为22222222","1. 扫码查询:11111111
2. 点击查询","1. 输入框完整显示11111111
2. 列表中完整显示固定资产信息A",,,4,功能测试,,正常,,,,,,,,,,
,,,,WB2.5_行政综合_检验使用区域查询功能,"1.使用管理员账号登录成功WNCD000/woniu123
2.进入行政综合-固定资产领用登记模块，
3.存在固定资产A：区域为成都的领用资产信息
4.存在固定资产B：区域为重庆的领用资产信息","1. 区域:成都
2. 点击查询按钮","1. 下拉框中完整显示成都
2. 列表中完整显示领用资产信息A",,,4,功能测试,,正常,,,,,,,,,,
,,,,WB2.5_行政综合_检验使用部门查询功能,"1.使用管理员账号登录成功WNCD000/woniu123
2.进入行政综合-固定资产领用登记模块，，
3.存在固定资产A：部门为市场部的领用资产信息
4.存在固定资产B：部门为教学部的领用资产信息","1. 部门:市场部
2. 点击查询按钮","1. 下拉框中完整显示市场部
2. 列表中完整显示领用资产信息A",,,4,功能测试,,正常,,,,,,,,,,
