用例编号,所属项目,所属模块,相关需求,用例标题,前置条件,步骤,预期,实际情况,关键词,优先级,用例类型,适用阶段,用例状态,B,R,S,结果,由谁创建,创建日期,最后修改者,修改日期,用例版本,相关用例
1,woniuboss2.5_yang(#4),/培训资源(#56),,WB2.5_培训资源_可以进入培训资源模块,"1.存在咨询主管账号wncd011/woniu123/woniu123
2.已登入系统",1. 点击培训资源模块,1. 进入培训资源模块成功,,,3,功能测试,"
功能测试阶段",正常,0,0,2,,杨光亮,2020/5/12,,0000-00-00,1,
2,woniuboss2.5_yang(#4),/培训资源(#56),,WB2.5_培训资源_培训资源UI检查,"1.存在咨询主管账号wncd011/woniu123/woniu123
2.已登入系统
3.已进入培训资源模块",1.检查培训资源UI是否与原型图一致,1. 培训资源UI与原型图一致,,,3,功能测试,"
功能测试阶段",正常,0,0,2,,杨光亮,2020/5/12,,0000-00-00,1,
3,,,,WB2.5_培训资源_可以进入资源新增功能,"1.存在咨询主管账号wncd011/woniu123/woniu123
2.已进入培训资源",1.点击资源新增功能,1.成功进入培训资源功能,,,,,,,,,,,,,,,,
4,,,,WB2.5_培训资源_资源新增功能UI正常，符合需求,"1.存在咨询主管账号wncd011/woniu123/woniu123
2.已进入培训资源模块","1.点击新增按钮
2.检查新增界面UI与原型图保持一致","1.可以弹出新增窗口
2.新增界面与原型图保持一致",,,,,,,,,,,,,,,,
5,,,,WB2.5_培训资源_新增界面输入框可以输入内容,"1.存在咨询主管账号wncd011/woniu123/woniu123
2.已进入培训资源模块","1.点击新增按钮
2.检查每一个输入框可以输入内容/下拉框可以下拉","1.可以弹出新增窗口
2.每个输入框可以输入内容,下拉框下拉成功",,,,,,,,,,,,,,,,
6,,,,WB2.5_培训资源_资源新增_电话号码为数字,"1.存在咨询主管账号wncd011/woniu123/woniu123
2.已进入培训资源模块","1.点击新增按钮
2.电话号码填187675678987
3.姓名为阳亮
4.状态为新入库
5.渠道为QQ群
6.点击保存
7.检查数据是否增加成功","1.可以弹出新增界面
2.电话号码成功输入
3.姓名成功输入
4.状态选择成功
5.渠道选择成功
6.保存成功
7.数据增加成功",,,,,,,,,,,,,,,,
7,,,,WB2.5_培训资源_资源新增_状态新认领,"1.存在咨询主管账号wncd011/woniu123/woniu123
2.已进入培训资源模块","1.点击新增按钮
2.电话号码填187675678980
3.姓名为少司命
4.状态为新认领
5.渠道为QQ群
6.点击保存
7.检查数据是否增加成功","1.可以弹出新增界面
2.电话号码成功输入
3.姓名成功输入
4.状态选择成功
5.渠道选择成功
6.保存成功
7.数据增加成功",,,,,,,,,,,,,,,,
8,,,,WB2.5_培训资源_资源新增_电话号码为空,"1.存在咨询主管账号wncd011/woniu123/woniu123
2.已进入培训资源模块","1.点击新增按钮
2.电话号码不填
3.姓名为莫甘娜
4.状态为已预约
5.渠道为双选会
6.点击保存
7.检查数据是否增加成功","1.可以弹出新增界面
2.电话号码不填成功
3.姓名成功输入
4.状态选择成功
5.渠道选择成功
6.保存失败
7.数据增加失败",,,,,,,,,,,,,,,,
9,,,,WB2.5_培训资源_失败_资源新增_电话号码为汉字,"1.存在咨询主管账号wncd011/woniu123/woniu123
2.已进入培训资源模块","1.点击新增按钮
2.电话号码填电话号码汉字
3.姓名为大司命
4.状态为新认领
5.渠道为双选会
6.点击保存
7.检查数据是否增加成功","1.可以弹出新增界面
2.电话号码成功输入
3.姓名成功输入
4.状态选择成功
5.渠道选择成功
6.保存失败
7.数据增加失败",,,,,,,,,,,,,,,,
10,,,,WB2.5_培训资源_资源新增_姓名为空,"1.存在咨询主管账号wncd011/woniu123/woniu123
2.已进入培训资源模块","1.点击新增按钮
2.电话号码为187236567876
3.姓名为空
4.状态为新入库
5.渠道为双选会
6.点击保存
7.检查数据是否增加成功","1.可以弹出新增界面
2.电话号码成功输入
3.姓名成功输入为空
4.状态选择成功
5.渠道选择成功
6.保存失败
7.数据增加失败",,,,,,,,,,,,,,,,
11,,,,WB2.5_培训资源_资源新增_状态为空,"1.存在咨询主管账号wncd011/woniu123/woniu123
2.已进入培训资源模块","1.点击新增按钮
2.电话号码为187236567878
3.姓名为亚索
4.状态默认
5.渠道为双选会
6.点击保存
7.检查数据是否增加成功","1.可以弹出新增界面
2.电话号码成功输入
3.姓名成功输入成功
4.状态选择成功
5.渠道选择成功
6.保存失败
7.数据增加失败",,,,,,,,,,,,,,,,
12,,,,WB2.5_培训资源_资源新增_必填项全填,"1.存在咨询主管账号wncd011/woniu123/woniu123
2.已进入培训资源模块","1.点击新增按钮
2.电话号码为187236565878
3.姓名为劫
4.状态新认领
5.渠道为QQ群
6.性别男、邮箱为8767886@163.com、QQ为8726718167、学校为兰州大学、专业为计算机、求职意向为百度公司、工作经验选择1年、期望薪水10000、应聘职位测试工程师、年龄28、教育经历2014-2017 兰州大学学习、工作经历2017-9至2018-9在京东送快递、最后跟踪2020-05-01
7.点击保存
8.检查数据是否增加成功","1.可以弹出新增界面
2.电话号码成功输入
3.姓名成功输入成功
4.状态选择成功
5.渠道选择成功
6.选填项可以输入成功
7.保存失败
8.数据增加成功",,,,,,,,,,,,,,,,
13,,,,WB2.5_培训资源_资源新增_必填项全不填,"1.存在咨询主管账号wncd011/woniu123/woniu123
2.已进入培训资源模块","1.点击新增按钮
2.电话号码填187675678912
3.姓名为狗头人
4.状态为新入库
5.渠道为QQ群
6.点击保存
7.检查数据是否增加成功","1.可以弹出新增窗口
2.电话号码输入成功
3.姓名输入成功
4.状态选择成功
5.渠道选择成功
6.保存成功
7.数据新增成功",,,,,,,,,,,,,,,,
14,,,,WB2.5_培训资源_资源新增_必填项选填,"1.存在咨询主管账号wncd011/woniu123/woniu123
2.已进入培训资源模块","1.点击新增按钮
2.电话号码为187236565878
3.姓名为人头狗
4.状态新认领
5.渠道为QQ群
6.性别男、邮箱为8767986@163.com、QQ为8726818167、求职意向为腾讯公司、工作经验选择3年、期望薪水20000、应聘职位自动化工程师、
7.点击保存
8.检查数据是否增加成功","1.可以弹出新增界面
2.电话号码成功输入
3.姓名成功输入成功
4.状态选择成功
5.渠道选择成功
6.选填项可以输入成功
7.保存失败
8.数据增加成功",,,,,,,,,,,,,,,,
15,,,,WB2.5_培训资源_资源新增_新增空取消检查,"1.存在咨询主管账号wncd011/woniu123/woniu123
2.已进入培训资源模块","1.点击新增按钮
2.点击取消","1.新增界面可以成功弹出
2.取消成功",,,,,,,,,,,,,,,,
16,,,,WB2.5_培训资源_资源新增_新增数据取消检查,"1.存在咨询主管账号wncd011/woniu123/woniu123
2.已进入培训资源模块","1.点击新增按钮
2.电话号码填167675671987
3.姓名为落霞
4.状态为新入库
5.渠道为QQ群
6.点击取消
7.数据检查","1.可以弹出新增界面
2.电话号码输入成功
3.姓名输入成功
4.状态选择成功
5.渠道选择成功
6.界面成功取消
7.数据未新增",,,,,,,,,,,,,,,,
17,,,,WB2.5_培训资源_资源新增_新增框拉动检查,"1.存在咨询主管账号wncd011/woniu123/woniu123
2.已进入培训资源模块","1.点击新增
2.拉动新增框","1.弹出新增界面
2.可以拉动新增界面",,,,,,,,,,,,,,,,
18,,,,WB2.5_培训资源_资源新增_新增为空检查,"1.存在咨询主管账号wncd011/woniu123/woniu123
2.已进入培训资源模块","1.点击新增
2.点击保存","1.新增界面弹出
2.保存失败",,,,,,,,,,,,,,,,
19,,,,WB2.5_培训资源_资源新增_不勾选资源废弃,"1.存在咨询主管账号wncd011/woniu123/woniu123
2.已进入培训资源模块
3.个人池存在资源 A 曹家伟/18190754895/可跟进","1.不勾选资源
2.点击废弃","1.不勾选资源成功
2.无法点击废弃",,,,,,,,,,,,,,,,
20,,,,WB2.5_培训资源_资源新增_废弃临时池资源,"1.存在咨询主管账号wncd011/woniu123/woniu123
2.已进入培训资源模块
3.临时池存在资源 A 少司命 /19876567891/新入库","1.勾选临时池资源
2.点击废弃","1.勾选资源成功
2.废弃失败",,,,,,,,,,,,,,,,
21,,,,WB2.5_培训资源_废弃资源_废弃一个资源,"1.存在咨询主管账号wncd011/woniu123/woniu123
2.已进入培训资源模块
3.个人池存在资源 A 曹家伟/18190754895/可跟进","1.勾选资源
2.点击废弃","1.勾选资源成功
2.废弃成功",,,,,,,,,,,,,,,,
22,,,,WB2.5_培训资源_废弃资源_废弃多个资源,"1.存在咨询主管账号wncd011/woniu123/woniu123
2.已进入培训资源模块
3.个人池存在资源 A 曹家伟/18190754895/可跟进
4.个人池存在资源 B 临时池/18999978786/新入库","1.勾选多个资源
2.点击废弃","1.勾选资源成功
2.废弃成功",,,,,,,,,,,,,,,,
23,,,,WB2.5_培训资源_废弃资源_状态改为无意向,"1.存在咨询主管账号wncd011/woniu123/woniu123
2.已进入培训资源模块
3.个人池存在资源 A 曹家伟/18190754895/可跟进","1.资源跟踪为无意向
2.查看资源","1.资源跟踪无意向成功
2.资源转为公共池",,,,,,,,,,,,,,,,
24,,,,WB2.5_培训资源_废弃资源_咨询师7天未跟踪资源,"1.存在咨询主管账号wncd011/woniu123/woniu123
2.已进入培训资源模块
3.临时池存在7天前的资源 A 少司命 /19876567891/新入库",1.查看资源A的状态,1.资源A转为公共池,,,,,,,,,,,,,,,,
25,,,,WB2.5_培训资源_废弃资源_咨询师跟踪后15天未回访,"1.存在咨询主管账号wncd011/woniu123/woniu123
2.已进入培训资源模块
3.个人池存在15天前跟踪的资源 A 曹家伟/18190754895/可跟进",1.查看资源A的状态,1.资源A转为公共池,,,,,,,,,,,,,,,,
26,,,,WB2.5_培训资源_查询资源_检查资源查询的各个输入框可以输入显示正常,"1.存在咨询主管账号wncd011/woniu123/woniu123
2.已进入培训资源模块",1.检查搜索的各个输入框可以正常输入,1.搜索的输入框可以输入内容,,,,,,,,,,,,,,,,
27,,,,WB2.5_培训资源_查询资源_搜索条件为空,"1.存在咨询主管账号wncd011/woniu123/woniu123
2.已进入培训资源模块",1.点击搜索框,"1.搜索失败,至少选择一个条件",,,,,,,,,,,,,,,,
28,,,,WB2.5_培训资源_查询资源_搜索开始时间大于结束时间,"1.存在咨询主管账号wncd011/woniu123/woniu123
2.已进入培训资源模块
3.已存在T到T+3时间的数据","1.开始时间选择为2020-05-20,结束时间选择为2020-05-12
2.其他条件不选择
3.点击搜索","1.开始时间2020-05-20显示成功
,结束时间2020-05-20显示成功
2.其他条件不操作成功
3.无法显示数据",,,,,,,,,,,,,,,,
29,,,,WB2.5_培训资源_查询资源_全条件搜索,"1.存在咨询主管账号wncd011/woniu123/woniu123
2.已进入培训资源模块
3.已存在T到T+40时间的数据
A 马阳/已报名18681873872
不存在当前时间内的数据
B 银河/新入库/1763787678","1.开始时间选择为2020-04-20,结束时间选择为2020-05-12
2.点击搜索","1.开始时间选择成功,结束时间选择成功
2.搜索成功,可以显示A不能显示B",,,,,,,,,,,,,,,,
30,,,,WB2.5_培训资源_查询资源_咨询师全部,"1.存在咨询主管账号wncd011/woniu123/woniu123
2.已进入培训资源模块
3.存在数据A在临时池 少司命 成都 网络 新入库 19876567891
存在数据B在公共池 黄义洲 成都 专属 新入库 21 初级Java程序员助理","1.资源池选择临时池
2.咨询师选择全部
3.点击搜索","1.临时池选择成功
2.咨询师选择成功
3.可以搜索出A数据,不能搜索出B数据",,,,,,,,,,,,,,,,
31,,,,WB2.5_培训资源_查询资源_咨询师倪雪,"1.存在咨询主管账号wncd011/woniu123/woniu123
2.已进入培训资源模块
3.存在数据 罗艺文 成都 专属 新入库 18784406671 四川眉山市 在咨询师倪雪下","1.资源选择全部,咨询师选择倪雪,状态选择全部,来源选择全部,分配时间选择2012-01-09至2020-05-12
2.点击查询","1.资源选择成功,咨询师选择成功,状态选择成功,来源选择成功,分配时间选择成功
2.可以显示数据罗艺文",,,,,,,,,,,,,,,,
32,,,,WB2.5_培训资源_查询资源_咨询师姚彦龙,"1.存在咨询主管账号wncd011/woniu123/woniu123
2.已进入培训资源模块
3.存在数据 曾琳屹 成都 专属 新入库 18482109763 四川成都市 在咨询师姚彦龙下","1.资源选择全部,咨询师选择姚彦龙,状态选择全部,来源选择全部,分配时间选择2012-01-09至2020-05-12
2.点击查询","1.资源选择成功,咨询师选择成功,状态选择成功,来源选择成功,分配时间选择成功
3.可以显示数据曾琳屹",,,,,,,,,,,,,,,,
34,,,,WB2.5_培训资源__查询资源_来源为QQ,"1.存在咨询主管账号wncd011/woniu123/woniu123
2.已进入培训资源模块
3.存在数据 梁冰 成都 QQ群 新入库 16787890876","1.资源选择全部,咨询师选择姚彦龙,状态选择全部,来源选择QQ群,分配时间选择2012-01-09至2020-05-12
2.点击查询","1.资源选择成功,咨询师选择成功,状态选择成功,来源选择成功,分配时间选择成功
2.可以显示数据梁冰",,,,,,,,,,,,,,,,
35,,,,WB2.5_培训资源_查询资源_来源专属,"1.存在咨询主管账号wncd011/woniu123/woniu123
2.已进入培训资源模块
3.存在数据 伍彩霞 成都 专属 新入库 15184441187 四川成都市","1.资源选择全部,咨询师选择全部,状态选择全部,来源选择专属,分配时间选择2012-01-09至2020-05-12
2.点击查询","1.资源选择成功,咨询师选择成功,状态选择成功,来源选择成功,分配时间选择成功
2.可以显示数据伍彩霞",,,,,,,,,,,,,,,,
36,,,,WB2.5_培训资源_查询资源_单查询姓名(正确的),"1.存在咨询主管账号wncd011/woniu123/woniu123
2.已进入培训资源模块
3.存在数据 伍彩霞 成都 专属 新入库 15184441187 四川成都市","1.搜索框输入伍彩霞
2.点击查询","1.姓名可以输入成功
2.可以显示伍彩霞的数据",,,,,,,,,,,,,,,,
37,,,,WB2.5_培训资源_034_成功_查询资源_单查询电话(正确的),"1.存在咨询主管账号wncd011/woniu123/woniu123
2.已进入培训资源模块
3.存在数据 伍彩霞 成都 专属 新入库 15184441187 四川成都市","1.搜索框输入15184441187 
2.点击查询","1.电话可以输入成功
2.可以显示伍彩霞的数据",,,,,,,,,,,,,,,,
38,,,,WB2.5_培训资源_查询资源_单查询QQ(正确的),"1.存在咨询主管账号wncd011/woniu123/woniu123
2.已进入培训资源模块
3.存在数据 刘二 成都 前程无忧 新入库 18978987651 /QQ为28272728272","1.搜索框输入28272728272
2.点击查询","1.QQ可以输入成功
2.可以显示刘二的数据",,,,,,,,,,,,,,,,
39,,,,WB2.5_培训资源_查询资源_单查询错误的条件,"1.存在咨询主管账号wncd011/woniu123/woniu123
2.已进入培训资源模块
3.存在数据 刘二 成都 前程无忧 新入库 18978987651 /QQ为28272728272","1.搜索框输入28272728272444
2.点击查询","1.QQ可以输入成功
2.不能显示刘二的数据",,,,,,,,,,,,,,,,
40,,,,WB2.5_培训资源_037_成功_查询资源_组合正确的QQ,"1.存在咨询主管账号wncd011/woniu123/woniu123
2.已进入培训资源模块
3.存在数据 刘二 成都 前程无忧 新入库 18978987651 /QQ为28272728272","1.资源选择全部,咨询师选择全部,状态选择全部,来源选择全部,分配时间选择2012-01-09至2020-05-12,QQ号为28272728272
2.点击查询","1.输入选择正确
2.搜索出刘二的信息",,,,,,,,,,,,,,,,
