用例编号,所属项目,所属模块,相关需求,用例标题,前置条件,步骤,预期,实际情况,关键词,优先级,用例类型,适用阶段,用例状态,B,R,S,结果,由谁创建,创建日期,最后修改者,修改日期,用例版本,相关用例
26,woniuboss2.5_yang(#4),/市场营销(#55),,WB2.5_市场营销_001_跳转市场营销界面检查,"1.存在有管理员权限账户WNCD000
woniu123/woniu123
2.使用账号登录系统
3.进入市场营销模块，解密","1. 点击快捷导航列的市场营销
2. 检查界面信息","1.界面信息完整
2.显示数据正常","1. 
2.",,3,功能测试,"
功能测试阶段
系统测试阶段",正常,0,0,2,,黄欣雨,2020/5/12,,0000-00-00,1,
27,woniuboss2.5_yang(#4),/市场营销(#55),,WB2.5_市场营销_002_默认查询,"1.存在有管理员权限账户WNCD000
woniu123/woniu123
2.使用账号登录系统
3.进入市场营销模块，解密
4.已存在新增资源
姓名:TEST04、区域:成都、来源:网络、状态:新入库、电话号码:18911110003
5.已存在由培训资源新增
姓名:五月、区域:成都、来源:中华英才网、状态:已报名、电话号码:18900001111
",1.点击快捷导航列的市场营销,1.显示信息为新增网络资源,"1. 
2.",,3,功能测试,"
功能测试阶段
系统测试阶段",正常,0,0,2,,黄欣雨,2020/5/12,,0000-00-00,1,
28,woniuboss2.5_yang(#4),/市场营销(#55),,WB2.5_市场营销_003_区域成都查询,"1.存在有管理员权限账户WNCD000
woniu123/woniu123
2.使用账号登录系统
3.进入市场营销模块，解密
4.已存在新增资源
姓名:TEST04、区域:成都、来源:网络、状态:新入库、电话号码:18911110003
5.已存在新增资源
姓名:五月、区域:重庆、来源:中华英才网、状态:已报名、电话号码:18900001111
","1.点击快捷导航列的市场营销
2.点击区域选择成都","1.显示信息为新增网络资源
2.显示成都区域的学生资源","1. 
2.",,3,功能测试,"
功能测试阶段
系统测试阶段",正常,0,0,2,,黄欣雨,2020/5/12,,0000-00-00,1,
29,woniuboss2.5_yang(#4),/市场营销(#55),,WB2.5_市场营销_004_区域重庆查询,"1.存在有管理员权限账户WNCD000
woniu123/woniu123
2.使用账号登录系统
3.进入市场营销模块，解密
4.已存在新增资源
姓名:张三、区域:重庆、来源:网络、状态:新入库、电话号码:13214564846
5.已存在新增资源
姓名:五月、区域:西安、来源:中华英才网、状态:已报名、电话号码:18900001111
","1.点击快捷导航列的市场营销
2.点击区域选择重庆","1.显示信息为新增网络资源
2.显示重庆区域的学生资源","1. 
2.",,3,功能测试,"
功能测试阶段
系统测试阶段",正常,0,0,2,,黄欣雨,2020/5/12,,0000-00-00,1,
30,woniuboss2.5_yang(#4),/市场营销(#55),,WB2.5_市场营销_005_区域西安查询,"1.存在有管理员权限账户WNCD000
woniu123/woniu123
2.使用账号登录系统
3.进入市场营销模块，解密
4.已存在新增资源
姓名:小李、区域:西安、来源:网络、状态:已报名、电话号码:15678967547
5.已存在新增资源
姓名:五月、区域:重庆、来源:中华英才网、状态:已报名、电话号码:18900001111
","1.点击快捷导航列的市场营销
2.点击区域选择西安","1.显示信息为新增网络资源
2.显示西安区域的学生资源","1. 
2.",,3,功能测试,"
功能测试阶段
系统测试阶段",正常,0,0,2,,黄欣雨,2020/5/12,,0000-00-00,1,
31,woniuboss2.5_yang(#4),/市场营销(#55),,WB2.5_市场营销_006_状态新入库查询,"1.存在有管理员权限账户WNCD000
woniu123/woniu123
2.使用账号登录系统
3.进入市场营销模块，解密
4.已存在新增资源
姓名:小李、区域:西安、来源:网络、状态:新入库、电话号码:15678967547
5.已存在新增资源
姓名:五月、区域:重庆、来源:中华英才网、状态:已报名、电话号码:18900001111
","1.点击快捷导航列的市场营销
2.点击状态选择新入库","1.显示信息为新增网络资源
2.显示状态为新入库的学生资源","1. 
2.",,3,功能测试,"
功能测试阶段
系统测试阶段",正常,0,0,2,,黄欣雨,2020/5/12,,0000-00-00,1,
32,woniuboss2.5_yang(#4),/市场营销(#55),,WB2.5_市场营销_007_状态新认领查询,"1.存在有管理员权限账户WNCD000
woniu123/woniu123
2.使用账号登录系统
3.进入市场营销模块，解密
4.已存在新增资源
姓名:小李、区域:西安、来源:网络、状态:新认领、电话号码:15678967547
5.已存在新增资源
姓名:五月、区域:重庆、来源:中华英才网、状态:已报名、电话号码:18900001111
","1.点击快捷导航列的市场营销
2.点击状态选择新认领","1.显示信息为新增网络资源
2.显示状态为新认领的学生资源","1. 
2.",,3,功能测试,"
功能测试阶段
系统测试阶段",正常,0,0,2,,黄欣雨,2020/5/12,,0000-00-00,1,
33,woniuboss2.5_yang(#4),/市场营销(#55),,WB2.5_市场营销_008_状态已预约查询,"1.存在有管理员权限账户WNCD000
woniu123/woniu123
2.使用账号登录系统
3.进入市场营销模块，解密
4.已存在新增资源
姓名:小李、区域:西安、来源:网络、状态:已预约、电话号码:15678967547
5.已存在新增资源
姓名:五月、区域:重庆、来源:中华英才网、状态:已报名、电话号码:18900001111
","1.点击快捷导航列的市场营销
2.点击状态选择已预约","1.显示信息为新增网络资源
2.显示状态为已预约的学生资源","1. 
2.",,3,功能测试,"
功能测试阶段
系统测试阶段",正常,0,0,2,,黄欣雨,2020/5/12,,0000-00-00,1,
34,woniuboss2.5_yang(#4),/市场营销(#55),,WB2.5_市场营销_009_状态已上门查询,"1.存在有管理员权限账户WNCD000
woniu123/woniu123
2.使用账号登录系统
3.进入市场营销模块，解密
4.已存在新增资源
姓名:小李、区域:西安、来源:网络、状态:已上门、电话号码:15678967547
5.已存在新增资源
姓名:五月、区域:重庆、来源:中华英才网、状态:已报名、电话号码:18900001111
","1.点击快捷导航列的市场营销
2.点击状态选择已上门","1.显示信息为新增网络资源
2.显示状态为已上门的学生资源","1. 
2.",,3,功能测试,"
功能测试阶段
系统测试阶段",正常,0,0,2,,黄欣雨,2020/5/12,,0000-00-00,1,
35,woniuboss2.5_yang(#4),/市场营销(#55),,WB2.5_市场营销_010_状态再投递查询,"1.存在有管理员权限账户WNCD000
woniu123/woniu123
2.使用账号登录系统
3.进入市场营销模块，解密
4.已存在新增资源
姓名:小李、区域:西安、来源:网络、状态:再投递、电话号码:15678967547
5.已存在新增资源
姓名:五月、区域:重庆、来源:中华英才网、状态:已报名、电话号码:18900001111
","1.点击快捷导航列的市场营销
2.点击状态选择再投递","1.显示信息为新增网络资源
2.显示状态为再投递的学生资源","1. 
2.",,3,功能测试,"
功能测试阶段
系统测试阶段",正常,0,0,2,,黄欣雨,2020/5/12,,0000-00-00,1,
