用例编号,所属项目,所属模块,相关需求,用例标题,前置条件,步骤,预期,实际情况,关键词,优先级,用例类型,适用阶段,用例状态,B,R,S,结果,由谁创建,创建日期,最后修改者,修改日期,用例版本,相关用例
JYGL_1,woniuboss2.5_yang(#4),/就业管理(#59),,WB2.5_二级密码_解密,"1.存在有就业管理模块权限账户WNCD031
woniu123/woniu123
2.使用账号登录系统","1.进入就业管理-技术面试页面，查看信息列表
2.点击解密按钮
3.输入二级密码，点击确定
4.查看学员基本信息","1. 学员姓名为加密状态
2. 弹出二级密码输入框
3. 返回到技术面试页面
4. 显示学员的信息完整",,,2,功能测试,"
功能测试阶段",正常,0,0,0,,李鹏,2020/5/9,,0000-00-00,1,
JYGL_2,woniuboss2.5_yang(#4),/就业管理(#59),,WB2.5_技术面试_界面检查,"1.存在有就业管理模块权限账户WNCD031/
woniu123/woniu123
2.使用账号登录系统
3.进入就业管理模块，解密",1.界面检查,1.界面信息完整，显示数据正常,,,3,功能测试,"
功能测试阶段",正常,,,,,,,,,,
JYGL_3,woniuboss2.5_yang(#4),/就业管理(#59),,WB2.5_技术面试_搜索全部,"1.存在有就业管理模块权限账户WNCD031/
woniu123/woniu123
2.使用账号登录系统
3.进入就业管理模块，解密
4.存在学员信息A技术面试通过
5.存在学员信息B技术面试未通过",1.技术面试下拉框勾选全部,1.显示学员A和B的信息,,,2,功能测试,"
功能测试阶段",正常,,,,,,,,,,
JYGL_4,woniuboss2.5_yang(#4),/就业管理(#59),,WB2.5_技术面试_搜索通过,"1.存在有就业管理模块权限账户WNCD031/
woniu123/woniu123
2.使用账号登录系统
3.进入就业管理模块，解密
4.存在学员信息A技术面试通过
5.存在学员信息B技术面试未通过",1.技术面试下拉框勾选通过,1.显示学员A的信息,,,1,功能测试,"
功能测试阶段",正常,,,,,,,,,,
JYGL_5,woniuboss2.5_yang(#4),/就业管理(#59),,WB2.5_技术面试_搜索未通过,"1.存在有就业管理模块权限账户WNCD031/
woniu123/woniu123
2.使用账号登录系统
3.进入就业管理模块，解密
4.存在学员信息A技术面试通过
5.存在学员信息B技术面试未通过",1.技术面试下拉框勾选未通过,1.显示学员B的信息,,,1,功能测试,"
功能测试阶段",正常,,,,,,,,,,
JYGL_6,woniuboss2.5_yang(#4),/就业管理(#59),,WB2.5_技术面试_通过面试按钮页面信息检查,"1.存在有就业管理模块权限账户WNCD031/
woniu123/woniu123
2.使用账号登录系统
3.进入就业管理模块，解密
4.存在学员信息A技术面试通过
5.存在学员信息B技术面试未通过","1.技术面试下拉框勾选通过
2.点击学员信息A后面的面试按钮","1.显示学员A的信息
2.出现弹框显示学员A的面试信息",,,3,功能测试,"
功能测试阶段",正常,,,,,,,,,,
JYGL_7,woniuboss2.5_yang(#4),/就业管理(#59),,"WB2.5_技术面试_未通过面试
按钮页面信息检查","1.存在有就业管理模块权限账户WNCD031/
woniu123/woniu123
2.使用账号登录系统
3.进入就业管理模块，解密
4.存在学员信息A技术面试通过
5.存在学员信息B技术面试未通过","1.技术面试下拉框勾选未通过
2.点击学员信息B后面的面试按钮","1.显示学员B的信息
2.出现弹框显示学员B的面试信息",,,3,功能测试,"
功能测试阶段",正常,,,,,,,,,,
JYGL_8,woniuboss2.5_yang(#4),/就业管理(#59),,"WB2.5_技术面试_面试弹框X
取消检查","1.存在有就业管理模块权限账户WNCD031/
woniu123/woniu123
2.使用账号登录系统
3.进入就业管理模块，解密
4.存在学员信息A技术面试通过
5.存在学员信息B技术面试未通过","1.技术面试下拉框任意勾选一个选项
2.点击学员信息后面的面试按钮
3.点击弹出框的X","1.显示相应学员的信息
2.出现弹框显示相应学员的面试信息
3.弹框消失",,,1,功能测试,"
功能测试阶段",正常,,,,,,,,,,
JYGL_9,woniuboss2.5_yang(#4),/就业管理(#59),,WB2.5_就业管理_界面检查,"1.存在有就业管理模块权限账户WNCD031/woniu123/woniu123
2.使用账号登录系统
3.进入就业管理模块，解密",1.界面检查,1.界面信息完整，显示数据正常,,,3,功能测试,"
功能测试阶段",正常,,,,,,,,,,
JYGL_10,woniuboss2.5_yang(#4),/就业管理(#59),,"WB2.5_就业管理_搜索全部条件
默认","1.存在有就业管理模块权限账户WNCD031/woniu123/woniu123
2.使用账号登录系统
3.进入就业管理模块，解密",1.点击搜索按钮,1.显示技术面试已通过的所有学员信息,,,3,功能测试,"
功能测试阶段",正常,,,,,,,,,,
JYGL_11,woniuboss2.5_yang(#4),/就业管理(#59),,WB2.5_就业管理_搜索班级第一个,"1.存在有就业管理模块权限账户WNCD031/woniu123/woniu123
2.使用账号登录系统
3.进入就业管理模块，解密
4.存在学员信息A
班级：WNCDC035
5.存在学员信息B
班级:WNCDC034","1.班级下拉框选WNCDC035
2.点击搜索按钮","1.选择的班级可以点选
2.搜索成功，显示学员信息A",,,3,功能测试,"
功能测试阶段",正常,,,,,,,,,,
JYGL_12,woniuboss2.5_yang(#4),/就业管理(#59),,WB2.5_就业管理_搜索班级最后一个,"1.存在有就业管理模块权限账户WNCD031/woniu123/woniu123
2.使用账号登录系统
3.进入就业管理模块，解密
4.存在学员信息A
班级：WNCDC001
5.存在学员信息B
班级:WNCDC034","1.班级下拉框选WNCDC001
2.点击搜索按钮","1.选择的班级可以点选
2.搜索成功，显示学员信息A",,,3,功能测试,"
功能测试阶段",正常,,,,,,,,,,
JYGL_13,woniuboss2.5_yang(#4),/就业管理(#59),,WB2.5_就业管理_搜索方向开发,"1.存在有就业管理模块权限账户WNCD031/woniu123/woniu123
2.使用账号登录系统
3.进入就业管理模块，解密
4.存在学员信息A
方向:开发
5.存在学员信息B
方向:公共","1.方向选择开发
2.点击搜索按钮","1.选择的方向可以点选
2.搜索成功，显示学员信息A",,,3,功能测试,"
功能测试阶段",正常,,,,,,,,,,
JYGL_14,woniuboss2.5_yang(#4),/就业管理(#59),,WB2.5_就业管理_搜索方向测试,"1.存在有就业管理模块权限账户WNCD031/woniu123/woniu123
2.使用账号登录系统
3.进入就业管理模块，解密
4.存在学员信息A
方向:测试
5.存在学员信息B
方向:公共","1.方向选择测试
2.点击搜索按钮","1.选择的方向可以点选
2.搜索成功，显示学员信息A",,,3,功能测试,"
功能测试阶段",正常,,,,,,,,,,
JYGL_15,woniuboss2.5_yang(#4),/就业管理(#59),,WB2.5_就业管理_搜索方向公共,"1.存在有就业管理模块权限账户WNCD031/woniu123/woniu123
2.使用账号登录系统
3.进入就业管理模块，解密
4.存在学员信息A
方向:公共
5.存在学员信息B
方向:测试","1.方向选择公共
2.点击搜索按钮","1.选择的方向可以点选
2.搜索成功，显示学员信息A",,,3,功能测试,"
功能测试阶段",正常,,,,,,,,,,
