用例编号,所属项目,所属模块,相关需求,用例标题,前置条件,步骤,预期,实际情况,关键词,优先级,用例类型,适用阶段,用例状态,B,R,S,结果,由谁创建,创建日期,最后修改者,修改日期,用例版本,相关用例
1,woniuboss2.5_yang(#4),/登录(#53),,系统界面UI检查,登录成功，进入系统界面,1. 检查界面,1. 系统界面UI与需求文档、原型图显示一致,"1. 
2. 
3.",,3,功能测试,,正常,0,0,3,,李晓芸,2020/5/12,,0000-00-00,1,
2,woniuboss2.5_yang(#5),/登录(#54),,原密码输入正确，修改一级密码为8位数字时的修改功能检查,登录成功，进入系统界面,"1. 点击密码修改按钮
2. 输入原密码=woniu123，输入新密码12345678，确认密码12345678
3. 点击确认","1. 界面出现修改密码弹窗
2. 原密码=woniu123，输入新密码12345678，确认密码12345678，输入内容都被●隐藏
3. 界面出现提示为“新密码格式不正确,由8-20位大小写字母和数字组成.”的弹窗",,,3,功能测试,"
功能测试阶段",正常,0,0,0,,李鹏,2020/5/9,,0000-00-00,1,
3,,,,原密码正确，修改一级密码为20位大小写字母时的修改功能检查,登录成功，进入系统界面,"1. 点击密码修改按钮
2. 输入原密码=woniu123，输入新密码AAAAAAAAAAaaaaaaaaaa，确认密码AAAAAAAAAAaaaaaaaaaa
3. 点击确认","1. 界面出现修改密码弹窗
2. 原密码=woniu123，输入新密码AAAAAAAAAAaaaaaaaaaa，确认密码AAAAAAAAAAaaaaaaaaaa，输入内容都被●隐藏
3. 界面出现提示为“新密码格式不正确,由8-20位大小写字母和数字组成.”的弹窗",,,,,,,,,,,,,,,,
4,,,,原密码正确，修改一级密码为10位数字字母组合时的修改功能检查,登录成功，进入系统界面,"1. 点击密码修改按钮
2. 输入原密码=woniu123，输入新密码Woniu12345，确认密码Woniu12345
3. 点击确认","1. 界面出现修改密码弹窗
2. 原密码=woniu123，输入新密码Woniu12345，确认密码Woniu12345，输入内容都被●隐藏
3. 界面出现提示为“修改成功.”的弹窗",,,,,,,,,,,,,,,,
5,,,,"原密码输入错误,修改一级密码为8位字母数字组合时的修改功能检查",登录成功，进入系统界面,"1. 点击密码修改按钮
2. 输入原密码=woniu111，输入新密码Woniu12345，确认密码Woniu12345
3. 点击确认","1. 界面出现修改密码弹窗
2. 原密码=woniu111，输入新密码Woniu12345，确认密码Woniu12345，输入内容都被●隐藏
3. 界面出现提示为“原密码错误，请重新输入.”的弹窗",,,,,,,,,,,,,,,,
6,,,,"原密码输入为空,修改一级密码为8位字母数字组合时的修改功能检查",登录成功，进入系统界面,"1. 点击密码修改按钮
2. 输入原密码=，输入新密码Woniu12345，确认密码Woniu12345
3. 点击确认","1. 界面出现修改密码弹窗
2. 原密码=，输入新密码Woniu12345，确认密码Woniu12345，输入内容都被●隐藏
3. 界面出现提示为“请输入原密码.”的弹窗",,,,,,,,,,,,,,,,
7,,,,"原密码输入正确,修改一级密码等于原密码时的修改功能检查",登录成功，进入系统界面,"1. 点击密码修改按钮
2. 输入原密码=woniu123，输入新密码woniu123，确认密码woniu123
3. 点击确认","1. 界面出现修改密码弹窗
2. 原密码=woniu123，输入新密码woniu123，确认密码woniu123，输入内容都被●隐藏
3. 界面出现提示为“原密码与新密码一致.”的弹窗",,,,,,,,,,,,,,,,
8,,,,"原密码输入正确,修改一级密码全为特殊符号时的修改功能检查",登录成功，进入系统界面,"1. 点击密码修改按钮
2. 输入原密码=woniu123，输入新密码@@@@@@@@@，确认密码@@@@@@@@@
3. 点击确认","1. 界面出现修改密码弹窗
2. 原密码=woniu123，输入新密码@@@@@@@@@，确认密码@@@@@@@@@，输入内容都被●隐藏
3. 界面出现提示为“新密码格式不正确,由8-20位大小写字母和数字组成.”的弹窗",,,,,,,,,,,,,,,,
9,,,,"原密码输入正确,修改一级密码为空时的修改功能检查",登录成功，进入系统界面,"1. 点击密码修改按钮
2. 输入原密码=woniu123，输入新密码=，确认密码=
3. 点击确认","1. 界面出现修改密码弹窗
2. 原密码=woniu123，输入新密码=，确认密码=，输入内容都被●隐藏
3. 界面出现提示为“新密码格式不正确,由8-20位大小写字母和数字组成.”的弹窗",,,,,,,,,,,,,,,,
10,,,,"原密码输入正确,新密码为8位字母数字组合,确认密码输入错误(与原密码不同)时的修改功能检查;",登录成功，进入系统界面,"1. 点击密码修改按钮
2. 输入原密码=woniu123，输入新密码=qweq1212，确认密码=aaaa12333
3. 点击确认","1. 界面出现修改密码弹窗
2. 原密码=woniu123，输入新密码=qweq1212，确认密码=aaaa12333输入内容都被●隐藏
3. 界面出现提示为“两次新密码输入不一致.”的弹窗",,,,,,,,,,,,,,,,
