用例编号,所属项目,所属模块,相关需求,用例标题,前置条件,步骤,预期,实际情况,关键词,优先级,用例类型,适用阶段,用例状态,B,R,S,结果,由谁创建,创建日期,最后修改者,修改日期,用例版本,相关用例
24,woniuboss2.5_yang(#4),/报表中心(#54),,"
WB2.5_报表中心_001_跳转报表中心界面检查","1.存在有管理员权限账户WNCD000
woniu123/woniu123
2.使用账号登录系统
3.进入报表中心模块，解密","1. 点击快捷导航列的报表中心
2. 检查界面信息",1. 界面信息完整，显示数据正常,1,,3,功能测试,"
功能测试阶段
系统测试阶段",正常,0,0,1,,黄欣雨,2020/5/12,,0000-00-00,1,
25,woniuboss2.5_yang(#4),/报表中心(#54),,WB2.5_报表中心_002_咨询部_跳转咨询部界面检查,"1.存在有管理员权限账户WNCD000
woniu123/woniu123
2.使用账号登录系统
3.进入报表中心模块，解密
4.进入咨询部界面","1.点击咨询部
2.检查界面信息",1. 界面信息完整，显示数据正常,1,,3,功能测试,"
功能测试阶段
系统测试阶段",正常,0,0,1,,黄欣雨,2020/5/12,,0000-00-00,1,
26,woniuboss2.5_yang(#4),/报表中心(#54),,WB2.5_报表中心_003_咨询部_搜索开始时间小于结束时间,"1.存在有管理员权限账户WNCD000
woniu123/woniu123
2.使用账号登录系统
3.进入报表中心模块，解密
4.进入咨询部界面
5.已存在T到T+3的数据
6.已存在T-3到T-1的数据","1.点击选择时间的开始时间框，选择开始时间为T
2.选择结束时间为T+3
3.点击搜索按钮；","1.选择开始时间成功
2.选择结束时间成功
3.显示的信息正确为T到T+3之间的数据",1,,3,功能测试,"
功能测试阶段
系统测试阶段",正常,0,0,1,,黄欣雨,2020/5/12,,0000-00-00,1,
27,woniuboss2.5_yang(#4),/报表中心(#54),,WB2.5_报表中心_004_咨询部_搜索开始时间大于结束时间,"1.存在有管理员权限账户WNCD000
woniu123/woniu123
2.使用账号登录系统
3.进入报表中心模块，解密
4.进入咨询部界面
5.已存在T到T+3的数据
6.已存在T-3到T-1的数据","1.点击选择时间的开始时间框，选择开始时间为T+3
2.选择结束时间为T
3.点击搜索按钮；","1.选择开始时间成功
2.选择结束时间失败，开始时间不能大于结束时间",1,,3,功能测试,"
功能测试阶段
系统测试阶段",正常,0,0,1,,黄欣雨,2020/5/12,,0000-00-00,1,
28,woniuboss2.5_yang(#4),/报表中心(#54),,WB2.5_报表中心_005_咨询部_当期_按钮搜索结果检查,"1.存在有管理员权限账户WNCD000
woniu123/woniu123
2.使用账号登录系统
3.进入报表中心模块，解密
4.进入咨询部界面
5.已存在正在学习的学生数据
6.已存在已毕业学生的数据",1.点击当期按钮,1.查询成功，正常显示在校学习学生数据,1,,3,功能测试,"
功能测试阶段
系统测试阶段",正常,0,0,1,,黄欣雨,2020/5/12,,0000-00-00,1,
29,woniuboss2.5_yang(#4),/报表中心(#54),,WB2.5_报表中心_006_咨询部_今日_按钮搜索结果检查,"1.存在有管理员权限账户WNCD000
woniu123/woniu123
2.使用账号登录系统
3.进入报表中心模块，解密
4.进入咨询部界面
5.已存在今日报名的学生数据
6.已存在昨日报名的学生数据",1.点击今日按钮,1.查询成功，正常显示今日报名学生数据,1,,3,功能测试,"
功能测试阶段
系统测试阶段",正常,0,0,1,,黄欣雨,2020/5/12,,0000-00-00,1,
30,woniuboss2.5_yang(#4),/报表中心(#54),,WB2.5_报表中心_007_咨询部_本周_按钮搜索结果检查,"1.存在有管理员权限账户WNCD000
woniu123/woniu123
2.使用账号登录系统
3.进入报表中心模块，解密
4.进入咨询部界面
5.已存在本周报名的学生数据
6.已存在上周报名的数据",1.点击本周按钮,1.查询成功，正常显示本周报名学生数据,1,,3,功能测试,"
功能测试阶段
系统测试阶段",正常,0,0,1,,黄欣雨,2020/5/12,,0000-00-00,1,
31,woniuboss2.5_yang(#4),/报表中心(#54),,WB2.5_报表中心_008_咨询部_本月_按钮搜索结果检查,"1.存在有管理员权限账户WNCD000
woniu123/woniu123
2.使用账号登录系统
3.进入报表中心模块，解密
4.进入咨询部界面
5.已存在本月报名的学生数据
6.已存在上月报名额学生数据",1.点击本月按钮,1.查询成功，正常显示本月报名学生数据,1,,3,功能测试,"
功能测试阶段
系统测试阶段",正常,0,0,1,,黄欣雨,2020/5/12,,0000-00-00,1,
32,woniuboss2.5_yang(#4),/报表中心(#54),,WB2.5_报表中心_009_咨询部_上周_按钮搜索结果检查,"1.存在有管理员权限账户WNCD000
woniu123/woniu123
2.使用账号登录系统
3.进入报表中心模块，解密
4.进入咨询部界面
5.已存在本周报名的学生数据
6.已存在上周报名的数据",1.点击上周按钮,1.查询成功，正常显示上周报名学生数据,1,,3,功能测试,"
功能测试阶段
系统测试阶段",正常,0,0,1,,黄欣雨,2020/5/12,,0000-00-00,1,
33,woniuboss2.5_yang(#4),/报表中心(#54),,WB2.5_报表中心_010_咨询部_上月_按钮搜索结果检查,"1.存在有管理员权限账户WNCD000
woniu123/woniu123
2.使用账号登录系统
3.进入报表中心模块，解密
4.进入咨询部界面
5.已存在本月报名的学生数据
6.已存在上月报名的学生数据",1.点击上月按钮,1.查询成功，正常显示上月报名学生数据,1,,3,功能测试,"
功能测试阶段
系统测试阶段",正常,0,0,1,,黄欣雨,2020/5/12,,0000-00-00,1,
35,woniuboss2.5_yang(#4),/报表中心(#54),,WB2.5_报表中心_011_咨询部_本年_按钮搜索结果检查,"1.存在有管理员权限账户WNCD000
woniu123/woniu123
2.使用账号登录系统
3.进入报表中心模块，解密
4.进入咨询部界面
5.已存在本年报名的学生数据
6.已存在去年报名的学生数据",1.点击本年按钮,1.查询成功，正常显示本年报名学生数据,1,,3,功能测试,"
功能测试阶段
系统测试阶段",正常,0,0,1,,黄欣雨,2020/5/12,,0000-00-00,1,
36,woniuboss2.5_yang(#4),/报表中心(#54),,WB2.5_报表中心_012_咨询部_数据为空时当期搜索结果检查,"1.存在有管理员权限账户WNCD000
woniu123/woniu123
2.使用账号登录系统
3.进入报表中心模块，解密
4.进入咨询部界面
5.数据库为空",1.点击当期按钮,1.查询成功，显示数据正常,1,,3,功能测试,"
功能测试阶段
系统测试阶段",正常,0,0,1,,黄欣雨,2020/5/12,,0000-00-00,1,
37,woniuboss2.5_yang(#4),/报表中心(#54),,WB2.5_报表中心_013_咨询部_数据为1条时当期搜索结果检查,"1.存在有管理员权限账户WNCD000
woniu123/woniu123
2.使用账号登录系统
3.进入报表中心模块，解密
4.进入咨询部界面
5.数据库中存在一条数据",1.点击当期按钮,1.查询成功，显示数据正常,1,,3,功能测试,"
功能测试阶段
系统测试阶段",正常,0,0,1,,黄欣雨,2020/5/12,,0000-00-00,1,
38,woniuboss2.5_yang(#4),/报表中心(#54),,WB2.5_报表中心_014_咨询部_数据库中数据有大量数据时当期搜索结果检查,"1.存在有管理员权限账户WNCD000
woniu123/woniu123
2.使用账号登录系统
3.进入报表中心模块，解密
4.进入咨询部界面
5.数据库中存在大量数据",1.点击当期按钮,1.查询成功，显示数据正常,1,,3,功能测试,"
功能测试阶段
系统测试阶段",正常,0,0,1,,黄欣雨,2020/5/12,,0000-00-00,1,
39,woniuboss2.5_yang(#4),/报表中心(#54),,WB2.5_报表中心_015_电销部_跳转电销部界面检查,"1.存在有管理员权限账户WNCD000
woniu123/woniu123
2.使用账号登录系统
3.进入报表中心模块，解密
4.进入电销部界面","1.点击咨询部
2.检查界面信息",1. 界面信息完整，显示数据正常,1,,3,功能测试,"
功能测试阶段
系统测试阶段",正常,0,0,1,,黄欣雨,2020/5/12,,0000-00-00,1,
40,woniuboss2.5_yang(#4),/报表中心(#54),,WB2.5_报表中心_016_电销部_搜索开始时间小于结束时间,"1.存在有管理员权限账户WNCD000
woniu123/woniu123
2.使用账号登录系统
3.进入报表中心模块，解密
4.进入电销部界面
5.已存在T到T+3的数据
6.已存在T-3到T-1的数据","1.点击选择时间的开始时间框，选择开始时间为T
2.选择结束时间为T+3
3.点击搜索按钮；","1.选择开始时间成功
2.选择结束时间成功
3.显示的信息正确为T到T+3之间的数据",1,,3,功能测试,"
功能测试阶段
系统测试阶段",正常,0,0,1,,黄欣雨,2020/5/12,,0000-00-00,1,
41,woniuboss2.5_yang(#4),/报表中心(#54),,WB2.5_报表中心_017_电销部_搜索开始时间大于结束时间,"1.存在有管理员权限账户WNCD000
woniu123/woniu123
2.使用账号登录系统
3.进入报表中心模块，解密
4.进入电销部界面
5.已存在T到T+3的数据
6.已存在T-3到T-1的数据","1.点击选择时间的开始时间框，选择开始时间为T+3
2.选择结束时间为T
3.点击搜索按钮；","1.选择开始时间成功
2.选择结束时间失败，开始时间不能大于结束时间",1,,3,功能测试,"
功能测试阶段
系统测试阶段",正常,0,0,1,,黄欣雨,2020/5/12,,0000-00-00,1,
42,woniuboss2.5_yang(#4),/报表中心(#54),,WB2.5_报表中心_018_电销部_当期_按钮搜索结果检查,"1.存在有管理员权限账户WNCD000
woniu123/woniu123
2.使用账号登录系统
3.进入报表中心模块，解密
4.进入电销部界面
5.已存在T到T+3的数据
6.已存在T-3到T-1的数据",1.点击当期按钮,1.查询成功，显示当期数据正常,1,,3,功能测试,"
功能测试阶段
系统测试阶段",正常,0,0,1,,黄欣雨,2020/5/12,,0000-00-00,1,
43,woniuboss2.5_yang(#4),/报表中心(#54),,WB2.5_报表中心_019_电销部_今日_按钮搜索结果检查,"1.存在有管理员权限账户WNCD000
woniu123/woniu123
2.使用账号登录系统
3.进入报表中心模块，解密
4.进入电销部界面
5.已存在T到T+3的数据
6.已存在T-3到T-1的数据",1.点击今日按钮,1.查询成功，显示今日数据正常,1,,3,功能测试,"
功能测试阶段
系统测试阶段",正常,0,0,1,,黄欣雨,2020/5/12,,0000-00-00,1,
44,woniuboss2.5_yang(#4),/报表中心(#54),,WB2.5_报表中心_020_电销部_本周_按钮搜索结果检查,"1.存在有管理员权限账户WNCD000
woniu123/woniu123
2.使用账号登录系统
3.进入报表中心模块，解密
4.进入电销部界面
5.已存在T到T+3的数据
6.已存在T-3到T-1的数据",1.点击本周按钮,1.查询成功，显示本周数据正常,1,,3,功能测试,"
功能测试阶段
系统测试阶段",正常,0,0,1,,黄欣雨,2020/5/12,,0000-00-00,1,
45,woniuboss2.5_yang(#4),/报表中心(#54),,WB2.5_报表中心_021_电销部_本月_按钮搜索结果检查,"1.存在有管理员权限账户WNCD000
woniu123/woniu123
2.使用账号登录系统
3.进入报表中心模块，解密
4.进入电销部界面
5.已存在T到T+3的数据
6.已存在T-3到T-1的数据",1.点击本月按钮,1.查询成功，显示本月数据正常,1,,3,功能测试,"
功能测试阶段
系统测试阶段",正常,0,0,1,,黄欣雨,2020/5/12,,0000-00-00,1,
46,woniuboss2.5_yang(#4),/报表中心(#54),,WB2.5_报表中心_022_电销部_上周_按钮搜索结果检查,"1.存在有管理员权限账户WNCD000
woniu123/woniu123
2.使用账号登录系统
3.进入报表中心模块，解密
4.进入电销部界面
5.已存在T到T+3的数据
6.已存在T-3到T-1的数据",1.点击上周按钮,1.查询成功，显示上周数据正常,1,,3,功能测试,"
功能测试阶段
系统测试阶段",正常,0,0,1,,黄欣雨,2020/5/12,,0000-00-00,1,
47,woniuboss2.5_yang(#4),/报表中心(#54),,WB2.5_报表中心_023_电销部_上月_按钮搜索结果检查,"1.存在有管理员权限账户WNCD000
woniu123/woniu123
2.使用账号登录系统
3.进入报表中心模块，解密
4.进入电销部界面
5.已存在T到T+3的数据
6.已存在T-3到T-1的数据",1.点击上月按钮,1.查询成功，显示上月数据正常,1,,3,功能测试,"
功能测试阶段
系统测试阶段",正常,0,0,1,,黄欣雨,2020/5/12,,0000-00-00,1,
48,woniuboss2.5_yang(#4),/报表中心(#54),,WB2.5_报表中心_024_电销部_本年_按钮搜索结果检查,"1.存在有管理员权限账户WNCD000
woniu123/woniu123
2.使用账号登录系统
3.进入报表中心模块，解密
4.进入电销部界面
5.已存在T到T+3的数据
6.已存在T-3到T-1的数据",1.点击本年按钮,1.查询成功，显示本年数据正常,1,,3,功能测试,"
功能测试阶段
系统测试阶段",正常,0,0,1,,黄欣雨,2020/5/12,,0000-00-00,1,
49,woniuboss2.5_yang(#4),/报表中心(#54),,WB2.5_报表中心_025_电销部_数据为空时当期搜索结果检查,"1.存在有管理员权限账户WNCD000
woniu123/woniu123
2.使用账号登录系统
3.进入报表中心模块，解密
4.进入电销部界面
5.数据库为空",1.点击当期按钮,1.查询成功，显示数据正常,1,,3,功能测试,"
功能测试阶段
系统测试阶段",正常,0,0,1,,黄欣雨,2020/5/12,,0000-00-00,1,
50,woniuboss2.5_yang(#4),/报表中心(#54),,WB2.5_报表中心_026_电销部_数据为1条时当期搜索结果检查,"1.存在有管理员权限账户WNCD000
woniu123/woniu123
2.使用账号登录系统
3.进入报表中心模块，解密
4.进入电销部界面
5.数据库中存在一条数据",1.点击当期按钮,1.查询成功，显示数据正常,1,,3,功能测试,"
功能测试阶段
系统测试阶段",正常,0,0,1,,黄欣雨,2020/5/12,,0000-00-00,1,
51,woniuboss2.5_yang(#4),/报表中心(#54),,WB2.5_报表中心_027_电销部_数据库中数据有大量数据时当期搜索结果检查,"1.存在有管理员权限账户WNCD000
woniu123/woniu123
2.使用账号登录系统
3.进入报表中心模块，解密
4.进入电销部界面
5.数据库中存在大量数据",1.点击当期按钮,1.查询成功，显示数据正常,1,,3,功能测试,"
功能测试阶段
系统测试阶段",正常,0,0,1,,黄欣雨,2020/5/12,,0000-00-00,1,
52,woniuboss2.5_yang(#4),/报表中心(#54),,WB2.5_报表中心_028_市场部_跳转市场部界面检查,"1.存在有管理员权限账户WNCD000
woniu123/woniu123
2.使用账号登录系统
3.进入报表中心模块，解密
4.进入市场部界面","1.点击市场部
2.检查界面信息",1. 界面信息完整，显示数据正常,1,,3,功能测试,"
功能测试阶段
系统测试阶段",正常,0,0,1,,黄欣雨,2020/5/12,,0000-00-00,1,
